Benchmark                                         (kind)  (offset)  (size)  Mode  Cnt        Score        Error  Units
c.m.a.b.set.SetSetBench.subsetOf                arrayset       1.0     100  avgt    6      159.751 ±     11.769  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       1.0    1000  avgt    6      217.332 ±      3.439  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       1.0   10000  avgt    6      313.359 ±      8.040  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       1.0  100000  avgt    6      456.733 ±     12.014  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.0       1  avgt    6       39.426 ±      1.415  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.0      10  avgt    6      188.264 ±      5.193  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.0     100  avgt    6     1780.801 ±     28.337  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.0    1000  avgt    6    19959.246 ±    526.417  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.0   10000  avgt    6   231093.445 ±   5995.973  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.0  100000  avgt    6  3001764.645 ± 145672.950  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.5       1  avgt    6       38.977 ±      1.342  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.5      10  avgt    6      162.502 ±      4.143  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.5     100  avgt    6     1481.783 ±     38.533  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.5    1000  avgt    6    17377.866 ±    214.354  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.5   10000  avgt    6   206830.819 ±  19638.005  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       0.5  100000  avgt    6  2530041.303 ±  71133.854  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       1.0       1  avgt    6       35.830 ±      0.518  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       1.0      10  avgt    6      167.447 ±      1.400  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       1.0     100  avgt    6     1610.876 ±     20.687  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       1.0    1000  avgt    6    18018.500 ±    297.202  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       1.0   10000  avgt    6   198075.888 ±   2480.748  ns/op
c.m.a.b.set.SetSetBench.subsetOf                 hashset       1.0  100000  avgt    6  2491280.904 ±  17319.878  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.0       1  avgt    6       31.378 ±      1.015  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.0      10  avgt    6      167.532 ±     20.138  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.0     100  avgt    6     1648.882 ±     51.038  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.0    1000  avgt    6    28799.406 ±    138.859  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.0   10000  avgt    6   334940.959 ±   5600.434  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.0  100000  avgt    6  4811748.617 ± 339380.743  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.5       1  avgt    6       31.094 ±      1.282  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.5      10  avgt    6      150.474 ±     10.395  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.5     100  avgt    6     1564.316 ±     97.315  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.5    1000  avgt    6    27527.382 ±    244.603  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.5   10000  avgt    6   312304.786 ±   5475.574  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       0.5  100000  avgt    6  4728435.727 ± 306617.183  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       1.0       1  avgt    6       33.202 ±      0.342  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       1.0      10  avgt    6      167.791 ±      7.061  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       1.0     100  avgt    6     1860.498 ±     52.435  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       1.0    1000  avgt    6    28818.339 ±   1007.864  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       1.0   10000  avgt    6   332509.534 ±  10288.122  ns/op
c.m.a.b.set.SetSetBench.subsetOf               sortedset       1.0  100000  avgt    6  4862645.771 ± 191847.370  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.0       1  avgt    6       18.262 ±      0.179  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.0      10  avgt    6       95.640 ±      7.906  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.0     100  avgt    6     1219.292 ±     11.700  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.0    1000  avgt    6    13663.747 ±    101.770  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.0   10000  avgt    6   173464.391 ±   1317.760  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.0  100000  avgt    6  2036552.089 ±  26822.355  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.5       1  avgt    6       18.329 ±      0.410  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.5      10  avgt    6      132.454 ±     13.263  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.5     100  avgt    6     1675.379 ±     98.986  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.5    1000  avgt    6    21888.629 ±    180.749  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.5   10000  avgt    6   311152.161 ±   1301.825  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       0.5  100000  avgt    6  3639944.053 ±  41940.208  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       1.0       1  avgt    6       19.710 ±      0.808  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       1.0      10  avgt    6      182.382 ±      2.565  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       1.0     100  avgt    6     1986.771 ±     17.769  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       1.0    1000  avgt    6    26900.748 ±   1163.623  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       1.0   10000  avgt    6   383575.741 ±   3199.918  ns/op
c.m.a.b.set.SetSetBench.union                   arrayset       1.0  100000  avgt    6  4329555.000 ± 163900.340  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.0       1  avgt    6       24.468 ±      0.505  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.0      10  avgt    6      139.260 ±      2.199  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.0     100  avgt    6     1363.148 ±     10.486  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.0    1000  avgt    6    16265.424 ±    192.717  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.0   10000  avgt    6   192057.807 ±   2580.552  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.0  100000  avgt    6  2422089.421 ±  58732.466  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.5       1  avgt    6       24.468 ±      0.358  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.5      10  avgt    6      152.816 ±      1.888  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.5     100  avgt    6     1464.654 ±     15.952  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.5    1000  avgt    6    19045.853 ±    163.815  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.5   10000  avgt    6   223108.328 ±   3514.023  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       0.5  100000  avgt    6  2728544.329 ±  96070.102  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       1.0       1  avgt    6       27.491 ±      0.569  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       1.0      10  avgt    6      167.518 ±      3.998  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       1.0     100  avgt    6     2092.397 ±     24.064  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       1.0    1000  avgt    6    26198.842 ±    581.947  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       1.0   10000  avgt    6   233650.546 ±    948.575  ns/op
c.m.a.b.set.SetSetBench.union                    hashset       1.0  100000  avgt    6  3518138.055 ±  42081.434  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.0       1  avgt    6       24.746 ±      0.148  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.0      10  avgt    6      141.031 ±      0.655  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.0     100  avgt    6     1340.947 ±     15.693  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.0    1000  avgt    6    17208.901 ±    206.428  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.0   10000  avgt    6   196650.438 ±   3482.264  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.0  100000  avgt    6  3315903.215 ±  53833.460  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.5       1  avgt    6       25.252 ±      1.605  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.5      10  avgt    6      154.490 ±      1.243  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.5     100  avgt    6     1440.856 ±     12.452  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.5    1000  avgt    6    19392.927 ±    134.138  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.5   10000  avgt    6   236906.582 ±   3291.329  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       0.5  100000  avgt    6  4105641.639 ±  67157.774  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       1.0       1  avgt    6       27.447 ±      1.385  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       1.0      10  avgt    6      174.028 ±      0.938  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       1.0     100  avgt    6     1952.784 ±     13.479  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       1.0    1000  avgt    6    25152.785 ±    577.716  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       1.0   10000  avgt    6   237083.672 ±   1695.633  ns/op
c.m.a.b.set.SetSetBench.union                  sortedset       1.0  100000  avgt    6  5914363.133 ±  38688.309  ns/op
