Benchmark                                         (kind)  (offset)  (size)  Mode  Cnt        Score        Error  Units
c.m.a.b.element.SetElementBench.containsTrue    arrayset       N/A     100  avgt    6        4.090 ±      0.041  ns/op
c.m.a.b.element.SetElementBench.containsTrue    arrayset       N/A    1000  avgt    6        9.129 ±      0.020  ns/op
c.m.a.b.element.SetElementBench.containsTrue    arrayset       N/A   10000  avgt    6       11.296 ±      0.063  ns/op
c.m.a.b.element.SetElementBench.containsTrue    arrayset       N/A  100000  avgt    6       12.859 ±      0.251  ns/op
c.m.a.b.element.SetElementBench.containsTrue     hashset       N/A       1  avgt    6        2.792 ±      0.007  ns/op
c.m.a.b.element.SetElementBench.containsTrue     hashset       N/A      10  avgt    6        2.796 ±      0.004  ns/op
c.m.a.b.element.SetElementBench.containsTrue     hashset       N/A     100  avgt    6        2.754 ±      0.004  ns/op
c.m.a.b.element.SetElementBench.containsTrue     hashset       N/A    1000  avgt    6        2.841 ±      0.018  ns/op
c.m.a.b.element.SetElementBench.containsTrue     hashset       N/A   10000  avgt    6        3.014 ±      0.549  ns/op
c.m.a.b.element.SetElementBench.containsTrue     hashset       N/A  100000  avgt    6        2.834 ±      0.006  ns/op
c.m.a.b.element.SetElementBench.containsTrue   sortedset       N/A       1  avgt    6        2.381 ±      0.003  ns/op
c.m.a.b.element.SetElementBench.containsTrue   sortedset       N/A      10  avgt    6        4.134 ±      0.010  ns/op
c.m.a.b.element.SetElementBench.containsTrue   sortedset       N/A     100  avgt    6        6.479 ±      0.011  ns/op
c.m.a.b.element.SetElementBench.containsTrue   sortedset       N/A    1000  avgt    6        6.725 ±      0.010  ns/op
c.m.a.b.element.SetElementBench.containsTrue   sortedset       N/A   10000  avgt    6       10.223 ±      0.007  ns/op
c.m.a.b.element.SetElementBench.containsTrue   sortedset       N/A  100000  avgt    6       12.464 ±      0.100  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.0       1  avgt    6       14.145 ±      0.159  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.0      10  avgt    6       43.995 ±      0.858  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.0     100  avgt    6      301.265 ±      5.418  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.0    1000  avgt    6     2953.707 ±     39.731  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.0   10000  avgt    6    32855.212 ±    568.397  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.0  100000  avgt    6   314210.043 ±  11911.486  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.5       1  avgt    6       14.113 ±      0.176  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.5      10  avgt    6       85.989 ±      1.676  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.5     100  avgt    6      831.568 ±      8.499  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.5    1000  avgt    6     9274.053 ±    332.658  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.5   10000  avgt    6   166956.733 ±   3529.812  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       0.5  100000  avgt    6  1807329.780 ±  97444.910  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       1.0       1  avgt    6       12.247 ±      0.678  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       1.0      10  avgt    6      113.188 ±      2.517  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       1.0     100  avgt    6     1269.275 ±     44.659  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       1.0    1000  avgt    6    15016.534 ±    101.316  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       1.0   10000  avgt    6   250882.443 ±  90132.689  ns/op
c.m.a.b.set.SetSetBench.diff                    arrayset       1.0  100000  avgt    6  2939882.867 ± 638467.448  ns/op
